# from damnums
Steel MiniWhite
Blood MiniRed
Ice MiniSilver
Fire MiniBrass
Earth MiniKirinHUD
Quake MiniKirinHUD
Electric MiniYellow
Lightning MiniYellow
Gravity MiniPurple
Poison MiniPurple
PoisonCloud MiniPurple
Dark MiniIbukiHUD
Rocket MiniGold
Explode MiniGold
Explosive MiniGold
Explosion MiniGold
Plasma MiniCyan
Disintegrate MiniGreen
BFG MiniGreen
BFGSplash MiniGreen
# from abort_m
Succ MiniDemoPink
Foam MiniGreen
PeaShot MiniGreen
Salty MiniWhite
Rage MiniBrass
Poke MiniKirinHUD
Love MiniSayaHUD
Thonk MiniYellow
RaveRed MiniRed
RaveYellow MiniYellow
RaveGreen MiniGreen
RaveCyan MiniCyan
RaveBlue MiniBlue
RaveMagenta MiniPurple
# from doom tournament
Pulsed MiniGreen
Zapped MiniGreen
Shot MiniYellow
Jolted MiniCyan
JoltedX MiniBrass
RedeemerDeath MiniIbukiHUD
Shredded MiniDemoPink
Decapitated MiniSayaHUD
Slime MiniGreen
Impact MiniWhite
RipperAltDeath MiniRed
RocketDeath MiniKirinHUD
GrenadeDeath MiniKirinHUD
# from doomreal
DAmmo1 MiniBlue
DAmmo2 MiniGreen
DAmmo3 MiniYellow
DAmmo4 MiniBrass
DAmmo5 MiniRed
Stinger MiniKinylum
TarydiumCharge MiniKinylum
Exploded MiniGold
Stunned MiniCyan
Impaler MiniNokorokinylum
PeaceDeath MiniGold
PeaceBarrelDeath MiniGold
BigShot MiniGold
